Detector,Descriptor,Matcher,Selector,Combination,TTC_Camera_Avg,TTC_Camera_Std,TTC_Camera_Min,TTC_Camera_Max
SHITOMASI,BRISK,MAT_BF,SEL_NN,SHITOMASI_BRISK_MAT_BF_SEL_NN,12.06630722,1.381475145,9.33977,14.5902
SHITOMASI,BRISK,MAT_BF,SEL_KNN,SHITOMASI_BRISK_MAT_BF_SEL_KNN,12.17373278,1.357998277,9.1427,14.0111
SHITOMASI,BRISK,MAT_FLANN,SEL_NN,SHITOMASI_BRISK_MAT_FLANN_SEL_NN,11.99708222,1.545483703,8.04778,14.1822
SHITOMASI,BRISK,MAT_FLANN,SEL_KNN,SHITOMASI_BRISK_MAT_FLANN_SEL_KNN,12.11105778,1.264352664,9.92934,14.3167
SHITOMASI,BRIEF,MAT_BF,SEL_NN,SHITOMASI_BRIEF_MAT_BF_SEL_NN,12.12162167,2.006861345,7.94504,16.3145
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,SHITOMASI_BRIEF_MAT_BF_SEL_KNN,12.31758667,1.758402881,7.82176,16.9487
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,SHITOMASI_BRIEF_MAT_FLANN_SEL_NN,12.28928056,1.49817026,9.20015,15.2968
SHITOMASI,BRIEF,MAT_FLANN,SEL_KNN,SHITOMASI_BRIEF_MAT_FLANN_SEL_KNN,12.17010222,1.387917801,8.14744,14.0135
SHITOMASI,ORB,MAT_BF,SEL_NN,SHITOMASI_ORB_MAT_BF_SEL_NN,11.81624333,1.278650433,8.43178,14.0135
SHITOMASI,ORB,MAT_BF,SEL_KNN,SHITOMASI_ORB_MAT_BF_SEL_KNN,11.73511944,1.406532164,7.79466,13.6476
SHITOMASI,ORB,MAT_FLANN,SEL_NN,SHITOMASI_ORB_MAT_FLANN_SEL_NN,11.85340278,1.396296595,8.31074,14.0088
SHITOMASI,ORB,MAT_FLANN,SEL_KNN,SHITOMASI_ORB_MAT_FLANN_SEL_KNN,11.98675611,1.489110279,8.99448,14.0746
SHITOMASI,FREAK,MAT_BF,SEL_NN,SHITOMASI_FREAK_MAT_BF_SEL_NN,11.94539444,1.175698637,10.009,14.1322
SHITOMASI,FREAK,MAT_BF,SEL_KNN,SHITOMASI_FREAK_MAT_BF_SEL_KNN,12.04863722,1.414553046,8.11317,14.5777
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,SHITOMASI_FREAK_MAT_FLANN_SEL_NN,11.93022667,1.445315396,7.99448,14.4569
SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,SHITOMASI_FREAK_MAT_FLANN_SEL_KNN,11.74744611,1.625613521,7.28532,13.3275
SHITOMASI,SIFT,MAT_BF,SEL_NN,SHITOMASI_SIFT_MAT_BF_SEL_NN,11.90632611,1.579403745,8.19576,14.2953
SHITOMASI,SIFT,MAT_BF,SEL_KNN,SHITOMASI_SIFT_MAT_BF_SEL_KNN,12.09119944,1.111451061,9.22159,14.0746
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,SHITOMASI_SIFT_MAT_FLANN_SEL_NN,11.94467389,1.411730185,9.46731,14.661
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,SHITOMASI_SIFT_MAT_FLANN_SEL_KNN,12.15799389,1.100721092,9.22159,13.813
HARRIS,BRISK,MAT_BF,SEL_NN,HARRIS_BRISK_MAT_BF_SEL_NN,14.00035611,4.439062642,9.91011,29.9134
HARRIS,BRISK,MAT_BF,SEL_KNN,HARRIS_BRISK_MAT_BF_SEL_KNN,13.30347222,3.063026253,10.1135,24.7473
HARRIS,BRISK,MAT_FLANN,SEL_NN,HARRIS_BRISK_MAT_FLANN_SEL_NN,13.76188,4.26964174,8.41824,25.9028
HARRIS,BRISK,MAT_FLANN,SEL_KNN,HARRIS_BRISK_MAT_FLANN_SEL_KNN,13.94284722,6.398575585,7.10411,37.3807
HARRIS,BRIEF,MAT_BF,SEL_NN,HARRIS_BRIEF_MAT_BF_SEL_NN,12.61435111,1.927407424,8.64502,17.4113
HARRIS,BRIEF,MAT_BF,SEL_KNN,HARRIS_BRIEF_MAT_BF_SEL_KNN,13.27809111,2.842922064,8.88934,22.1669
HARRIS,BRIEF,MAT_FLANN,SEL_NN,HARRIS_BRIEF_MAT_FLANN_SEL_NN,12.70366944,1.992407079,8.93355,18.0431
HARRIS,BRIEF,MAT_FLANN,SEL_KNN,HARRIS_BRIEF_MAT_FLANN_SEL_KNN,14.01622222,4.313541376,10.7619,26.7511
HARRIS,ORB,MAT_BF,SEL_NN,HARRIS_ORB_MAT_BF_SEL_NN,13.04028944,2.820158216,7.48261,19.6814
HARRIS,ORB,MAT_BF,SEL_KNN,HARRIS_ORB_MAT_BF_SEL_KNN,13.98896722,5.235260088,7.84231,33.2341
HARRIS,ORB,MAT_FLANN,SEL_NN,HARRIS_ORB_MAT_FLANN_SEL_NN,15.85413556,7.436134165,7.95204,36.1049
HARRIS,ORB,MAT_FLANN,SEL_KNN,HARRIS_ORB_MAT_FLANN_SEL_KNN,16.57724722,10.772572,8.08845,46.3613
HARRIS,FREAK,MAT_BF,SEL_NN,HARRIS_FREAK_MAT_BF_SEL_NN,13.03802278,3.481478236,8.53481,25.9028
HARRIS,FREAK,MAT_BF,SEL_KNN,HARRIS_FREAK_MAT_BF_SEL_KNN,12.627,2.540373967,9.27625,20.9025
HARRIS,FREAK,MAT_FLANN,SEL_NN,HARRIS_FREAK_MAT_FLANN_SEL_NN,12.42061167,1.330716055,9.91011,14.9944
HARRIS,FREAK,MAT_FLANN,SEL_KNN,HARRIS_FREAK_MAT_FLANN_SEL_KNN,13.745375,6.75917678,7.43895,34.8162
HARRIS,SIFT,MAT_BF,SEL_NN,HARRIS_SIFT_MAT_BF_SEL_NN,13.229045,3.518092729,7.20003,23.9736
HARRIS,SIFT,MAT_BF,SEL_KNN,HARRIS_SIFT_MAT_BF_SEL_KNN,12.85517778,2.797129662,8.529,22.8305
HARRIS,SIFT,MAT_FLANN,SEL_NN,HARRIS_SIFT_MAT_FLANN_SEL_NN,12.58298944,2.31196881,7.20003,17.3994
HARRIS,SIFT,MAT_FLANN,SEL_KNN,HARRIS_SIFT_MAT_FLANN_SEL_KNN,12.6237,1.9625345,8.529,18.5811
FAST,BRISK,MAT_BF,SEL_NN,FAST_BRISK_MAT_BF_SEL_NN,12.03034944,1.125669249,9.77819,14.3197
FAST,BRISK,MAT_BF,SEL_KNN,FAST_BRISK_MAT_BF_SEL_KNN,12.14517222,0.866268661,10.3331,13.7527
FAST,BRISK,MAT_FLANN,SEL_NN,FAST_BRISK_MAT_FLANN_SEL_NN,12.08190556,1.075262461,9.6128,13.7667
FAST,BRISK,MAT_FLANN,SEL_KNN,FAST_BRISK_MAT_FLANN_SEL_KNN,12.27182222,0.944886466,10.6067,13.6438
FAST,BRIEF,MAT_BF,SEL_NN,FAST_BRIEF_MAT_BF_SEL_NN,12.13256111,1.179087509,10.2177,14.2744
FAST,BRIEF,MAT_BF,SEL_KNN,FAST_BRIEF_MAT_BF_SEL_KNN,12.231155,1.336579388,9.90449,14.9904
FAST,BRIEF,MAT_FLANN,SEL_NN,FAST_BRIEF_MAT_FLANN_SEL_NN,12.04731444,1.502274628,9.18404,14.558
FAST,BRIEF,MAT_FLANN,SEL_KNN,FAST_BRIEF_MAT_FLANN_SEL_KNN,12.17330167,1.298149858,9.40163,13.9115
FAST,ORB,MAT_BF,SEL_NN,FAST_ORB_MAT_BF_SEL_NN,11.719425,1.370377668,9.94512,15.4926
FAST,ORB,MAT_BF,SEL_KNN,FAST_ORB_MAT_BF_SEL_KNN,11.77398333,1.075811535,10.001,13.3794
FAST,ORB,MAT_FLANN,SEL_NN,FAST_ORB_MAT_FLANN_SEL_NN,11.82756889,1.275908852,9.28056,13.6456
FAST,ORB,MAT_FLANN,SEL_KNN,FAST_ORB_MAT_FLANN_SEL_KNN,12.15541111,1.290029105,10.2237,15.8848
FAST,FREAK,MAT_BF,SEL_NN,FAST_FREAK_MAT_BF_SEL_NN,12.13906167,1.232427575,9.29331,13.9494
FAST,FREAK,MAT_BF,SEL_KNN,FAST_FREAK_MAT_BF_SEL_KNN,12.01992222,0.911583892,10.2279,13.461
FAST,FREAK,MAT_FLANN,SEL_NN,FAST_FREAK_MAT_FLANN_SEL_NN,11.888905,1.008904692,9.97729,13.7289
FAST,FREAK,MAT_FLANN,SEL_KNN,FAST_FREAK_MAT_FLANN_SEL_KNN,11.90828333,0.9764919,10.086,13.6763
FAST,SIFT,MAT_BF,SEL_NN,FAST_SIFT_MAT_BF_SEL_NN,12.20024333,1.611930796,9.79028,16.3107
FAST,SIFT,MAT_BF,SEL_KNN,FAST_SIFT_MAT_BF_SEL_KNN,12.06100556,1.292385276,9.4271,14.4469
FAST,SIFT,MAT_FLANN,SEL_NN,FAST_SIFT_MAT_FLANN_SEL_NN,12.20658667,1.730585288,9.42233,16.8135
FAST,SIFT,MAT_FLANN,SEL_KNN,FAST_SIFT_MAT_FLANN_SEL_KNN,12.01847167,1.299873435,9.24619,14.369
BRISK,BRISK,MAT_BF,SEL_NN,BRISK_BRISK_MAT_BF_SEL_NN,14.01688833,4.42372815,9.32949,29.3791
BRISK,BRISK,MAT_BF,SEL_KNN,BRISK_BRISK_MAT_BF_SEL_KNN,14.69747278,4.707500781,9.27041,28.2616
BRISK,BRISK,MAT_FLANN,SEL_NN,BRISK_BRISK_MAT_FLANN_SEL_NN,14.49003833,4.492841576,9.04959,29.0233
BRISK,BRISK,MAT_FLANN,SEL_KNN,BRISK_BRISK_MAT_FLANN_SEL_KNN,14.33271889,3.542128125,9.91034,24.0789
BRISK,BRIEF,MAT_BF,SEL_NN,BRISK_BRIEF_MAT_BF_SEL_NN,15.06838111,4.674724957,9.44036,27.8165
BRISK,BRIEF,MAT_BF,SEL_KNN,BRISK_BRIEF_MAT_BF_SEL_KNN,14.35088333,3.307545576,10.5666,20.8216
BRISK,BRIEF,MAT_FLANN,SEL_NN,BRISK_BRIEF_MAT_FLANN_SEL_NN,13.96770222,3.290617215,9.18454,21.775
BRISK,BRIEF,MAT_FLANN,SEL_KNN,BRISK_BRIEF_MAT_FLANN_SEL_KNN,13.20674611,2.028577521,8.32633,16.8216
BRISK,ORB,MAT_BF,SEL_NN,BRISK_ORB_MAT_BF_SEL_NN,13.70898667,3.282131273,9.55466,22.4019
BRISK,ORB,MAT_BF,SEL_KNN,BRISK_ORB_MAT_BF_SEL_KNN,14.2947,3.193606524,10.139,20.0512
BRISK,ORB,MAT_FLANN,SEL_NN,BRISK_ORB_MAT_FLANN_SEL_NN,14.29717333,3.550695751,9.35602,22.6169
BRISK,ORB,MAT_FLANN,SEL_KNN,BRISK_ORB_MAT_FLANN_SEL_KNN,14.24904833,3.843270057,8.66377,22.7927
BRISK,FREAK,MAT_BF,SEL_NN,BRISK_FREAK_MAT_BF_SEL_NN,14.54565722,4.169887176,8.78103,25.4617
BRISK,FREAK,MAT_BF,SEL_KNN,BRISK_FREAK_MAT_BF_SEL_KNN,14.37355389,3.993557497,9.21157,23.46
BRISK,FREAK,MAT_FLANN,SEL_NN,BRISK_FREAK_MAT_FLANN_SEL_NN,14.43552944,4.06682604,9.00906,24.613
BRISK,FREAK,MAT_FLANN,SEL_KNN,BRISK_FREAK_MAT_FLANN_SEL_KNN,14.32780389,4.782033185,9.45323,30.7106
BRISK,SIFT,MAT_BF,SEL_NN,BRISK_SIFT_MAT_BF_SEL_NN,15.28112222,5.096776698,10.0378,33.3199
BRISK,SIFT,MAT_BF,SEL_KNN,BRISK_SIFT_MAT_BF_SEL_KNN,14.63280389,4.229909802,9.85747,29.0233
BRISK,SIFT,MAT_FLANN,SEL_NN,BRISK_SIFT_MAT_FLANN_SEL_NN,15.75711722,7.599504007,9.50421,44.7178
BRISK,SIFT,MAT_FLANN,SEL_KNN,BRISK_SIFT_MAT_FLANN_SEL_KNN,15.29769444,7.521192348,10.7369,44.2904
ORB,BRISK,MAT_BF,SEL_NN,ORB_BRISK_MAT_BF_SEL_NN,17.56457294,13.73789921,7.37616,67.552
ORB,BRISK,MAT_BF,SEL_KNN,ORB_BRISK_MAT_BF_SEL_KNN,20.51923765,25.56557613,7.86149,116.963
ORB,BRISK,MAT_FLANN,SEL_NN,ORB_BRISK_MAT_FLANN_SEL_NN,18.31238118,9.943709668,7.52119,44.2344
ORB,BRISK,MAT_FLANN,SEL_KNN,ORB_BRISK_MAT_FLANN_SEL_KNN,18.80996706,19.90816971,7.78778,94.0111
ORB,BRIEF,MAT_BF,SEL_NN,ORB_BRIEF_MAT_BF_SEL_NN,18.50514222,8.49499961,8.82686,40.5835
ORB,BRIEF,MAT_BF,SEL_KNN,ORB_BRIEF_MAT_BF_SEL_KNN,33.65796333,37.03686876,9.88104,152.548
ORB,BRIEF,MAT_FLANN,SEL_NN,ORB_BRIEF_MAT_FLANN_SEL_NN,38.15689278,80.02286957,7.39547,355.449
ORB,BRIEF,MAT_FLANN,SEL_KNN,ORB_BRIEF_MAT_FLANN_SEL_KNN,41.51209778,77.34831657,7.34689,326.786
ORB,ORB,MAT_BF,SEL_NN,ORB_ORB_MAT_BF_SEL_NN,19.72410588,16.33094234,9.09837,77.0021
ORB,ORB,MAT_BF,SEL_KNN,ORB_ORB_MAT_BF_SEL_KNN,1164.945498,4727.009247,8.49488,19508.4
ORB,ORB,MAT_FLANN,SEL_NN,ORB_ORB_MAT_FLANN_SEL_NN,18.99565556,8.901781021,9.403,38.2012
ORB,ORB,MAT_FLANN,SEL_KNN,ORB_ORB_MAT_FLANN_SEL_KNN,18.68861846,9.939839947,9.29826,40.7135
ORB,FREAK,MAT_BF,SEL_NN,ORB_FREAK_MAT_BF_SEL_NN,11.35724941,172.0973716,-545.069,409.4
ORB,FREAK,MAT_BF,SEL_KNN,ORB_FREAK_MAT_BF_SEL_KNN,26.93437118,229.8563703,-545.069,743.671
ORB,FREAK,MAT_FLANN,SEL_NN,ORB_FREAK_MAT_FLANN_SEL_NN,46.365455,115.7208473,-67.2757,438.735
ORB,FREAK,MAT_FLANN,SEL_KNN,ORB_FREAK_MAT_FLANN_SEL_KNN,12.84806067,8.220927085,4.71742,36.8244
ORB,SIFT,MAT_BF,SEL_NN,ORB_SIFT_MAT_BF_SEL_NN,33.38900412,67.78436026,7.94459,293.925
ORB,SIFT,MAT_BF,SEL_KNN,ORB_SIFT_MAT_BF_SEL_KNN,87.20578118,238.0871445,7.94459,993.911
ORB,SIFT,MAT_FLANN,SEL_NN,ORB_SIFT_MAT_FLANN_SEL_NN,31.53337765,67.85990455,7.94459,293.925
ORB,SIFT,MAT_FLANN,SEL_KNN,ORB_SIFT_MAT_FLANN_SEL_KNN,83.53146353,238.2887571,7.94459,993.911
AKAZE,BRISK,MAT_BF,SEL_NN,AKAZE_BRISK_MAT_BF_SEL_NN,12.33823667,2.18389632,8.99467,15.7187
AKAZE,BRISK,MAT_BF,SEL_KNN,AKAZE_BRISK_MAT_BF_SEL_KNN,12.41237778,2.267303277,9.04656,15.9734
AKAZE,BRISK,MAT_FLANN,SEL_NN,AKAZE_BRISK_MAT_FLANN_SEL_NN,12.23824722,2.273076044,8.89972,16.1326
AKAZE,BRISK,MAT_FLANN,SEL_KNN,AKAZE_BRISK_MAT_FLANN_SEL_KNN,12.51483444,2.3392172,9.13752,16.408
AKAZE,BRIEF,MAT_BF,SEL_NN,AKAZE_BRIEF_MAT_BF_SEL_NN,12.52324056,2.236343508,9.14599,15.7888
AKAZE,BRIEF,MAT_BF,SEL_KNN,AKAZE_BRIEF_MAT_BF_SEL_KNN,12.33496667,2.206910958,9.26908,15.9137
AKAZE,BRIEF,MAT_FLANN,SEL_NN,AKAZE_BRIEF_MAT_FLANN_SEL_NN,12.49095444,2.363184753,8.9785,16.3766
AKAZE,BRIEF,MAT_FLANN,SEL_KNN,AKAZE_BRIEF_MAT_FLANN_SEL_KNN,12.32478667,2.23666534,9.19824,16.4296
AKAZE,ORB,MAT_BF,SEL_NN,AKAZE_ORB_MAT_BF_SEL_NN,12.437415,2.21122575,9.07465,16.2215
AKAZE,ORB,MAT_BF,SEL_KNN,AKAZE_ORB_MAT_BF_SEL_KNN,12.33061444,2.147814452,9.00868,15.6603
AKAZE,ORB,MAT_FLANN,SEL_NN,AKAZE_ORB_MAT_FLANN_SEL_NN,12.29548333,1.970754778,8.69106,15.7417
AKAZE,ORB,MAT_FLANN,SEL_KNN,AKAZE_ORB_MAT_FLANN_SEL_KNN,12.31990444,2.069661277,8.85715,16.007
AKAZE,FREAK,MAT_BF,SEL_NN,AKAZE_FREAK_MAT_BF_SEL_NN,12.19365944,2.101725252,8.94213,15.5181
AKAZE,FREAK,MAT_BF,SEL_KNN,AKAZE_FREAK_MAT_BF_SEL_KNN,12.34037222,2.221390341,8.82111,16.1895
AKAZE,FREAK,MAT_FLANN,SEL_NN,AKAZE_FREAK_MAT_FLANN_SEL_NN,12.46262222,2.144491444,9.15887,16.7481
AKAZE,FREAK,MAT_FLANN,SEL_KNN,AKAZE_FREAK_MAT_FLANN_SEL_KNN,12.58875278,2.397878446,9.07298,17.381
AKAZE,AKAZE,MAT_BF,SEL_NN,AKAZE_AKAZE_MAT_BF_SEL_NN,12.37848667,2.199156838,9.05369,16.5039
AKAZE,AKAZE,MAT_BF,SEL_KNN,AKAZE_AKAZE_MAT_BF_SEL_KNN,12.32669944,2.185084297,8.95043,16.4663
AKAZE,AKAZE,MAT_FLANN,SEL_NN,AKAZE_AKAZE_MAT_FLANN_SEL_NN,12.29760667,2.06117048,9.05829,15.596
AKAZE,AKAZE,MAT_FLANN,SEL_KNN,AKAZE_AKAZE_MAT_FLANN_SEL_KNN,12.21880556,1.946231047,8.98138,15.1157
AKAZE,SIFT,MAT_BF,SEL_NN,AKAZE_SIFT_MAT_BF_SEL_NN,12.46082222,2.243113955,8.92519,17.0327
AKAZE,SIFT,MAT_BF,SEL_KNN,AKAZE_SIFT_MAT_BF_SEL_KNN,12.40734333,2.254884582,9.05731,16.7933
AKAZE,SIFT,MAT_FLANN,SEL_NN,AKAZE_SIFT_MAT_FLANN_SEL_NN,12.46188111,2.287587378,8.86839,17.135
AKAZE,SIFT,MAT_FLANN,SEL_KNN,AKAZE_SIFT_MAT_FLANN_SEL_KNN,12.42460667,2.2541946,9.0268,16.7511
SIFT,BRISK,MAT_BF,SEL_NN,SIFT_BRISK_MAT_BF_SEL_NN,11.78609778,2.584145571,8.74843,18.287
SIFT,BRISK,MAT_BF,SEL_KNN,SIFT_BRISK_MAT_BF_SEL_KNN,12.16121333,2.7380311,8.66395,19.0054
SIFT,BRISK,MAT_FLANN,SEL_NN,SIFT_BRISK_MAT_FLANN_SEL_NN,11.81776667,2.573978426,8.35302,18.1705
SIFT,BRISK,MAT_FLANN,SEL_KNN,SIFT_BRISK_MAT_FLANN_SEL_KNN,12.37280278,2.983670235,8.8251,20.1567
SIFT,BRIEF,MAT_BF,SEL_NN,SIFT_BRIEF_MAT_BF_SEL_NN,12.07303056,2.941279464,8.61236,19.2904
SIFT,BRIEF,MAT_BF,SEL_KNN,SIFT_BRIEF_MAT_BF_SEL_KNN,12.24849111,3.034103872,8.77203,20.585
SIFT,BRIEF,MAT_FLANN,SEL_NN,SIFT_BRIEF_MAT_FLANN_SEL_NN,12.38055833,3.132132056,8.61236,19.1002
SIFT,BRIEF,MAT_FLANN,SEL_KNN,SIFT_BRIEF_MAT_FLANN_SEL_KNN,12.51800111,3.451201999,8.56522,21.9718
SIFT,ORB,MAT_BF,SEL_NN,SIFT_ORB_MAT_BF_SEL_NN,11.77854556,2.641125637,8.67946,18.8656
SIFT,ORB,MAT_BF,SEL_KNN,SIFT_ORB_MAT_BF_SEL_KNN,11.76114333,2.46704793,8.60211,17.3577
SIFT,ORB,MAT_FLANN,SEL_NN,SIFT_ORB_MAT_FLANN_SEL_NN,11.83205278,2.477952812,8.51644,17.1669
SIFT,ORB,MAT_FLANN,SEL_KNN,SIFT_ORB_MAT_FLANN_SEL_KNN,11.831555,2.434237502,8.53472,16.8108
SIFT,FREAK,MAT_BF,SEL_NN,SIFT_FREAK_MAT_BF_SEL_NN,11.57152056,2.502354419,8.61262,17.5656
SIFT,FREAK,MAT_BF,SEL_KNN,SIFT_FREAK_MAT_BF_SEL_KNN,12.11525667,2.711186174,8.77203,19.2664
SIFT,FREAK,MAT_FLANN,SEL_NN,SIFT_FREAK_MAT_FLANN_SEL_NN,11.47099167,2.235807373,8.5422,16.306
SIFT,FREAK,MAT_FLANN,SEL_KNN,SIFT_FREAK_MAT_FLANN_SEL_KNN,12.76545889,3.038289614,7.9146,18.1627
SIFT,SIFT,MAT_BF,SEL_NN,SIFT_SIFT_MAT_BF_SEL_NN,11.81421,2.562991794,8.67362,18.6293
SIFT,SIFT,MAT_BF,SEL_KNN,SIFT_SIFT_MAT_BF_SEL_KNN,11.77790333,2.404321306,8.6871,18.3354
SIFT,SIFT,MAT_FLANN,SEL_NN,SIFT_SIFT_MAT_FLANN_SEL_NN,11.79988889,2.501882293,8.67362,18.287
SIFT,SIFT,MAT_FLANN,SEL_KNN,SIFT_SIFT_MAT_FLANN_SEL_KNN,11.73326056,2.436703395,8.62812,18.3354
